CNTRY_NAME,LAT,LONG,Vol_2008,Vol_2009,Vol_2010,Vol_2011,Vol_2012,Vol_2013,Vol_2014,Vol_2015,Vol_2016,Vol_2017,Vol_2018,Vol_Total,Perc_2008,Perc_2009,Perc_2010,Perc_2011,Perc_2012,Perc_2013,Perc_2014,Perc_2015,Perc_2016,Perc_2017,Perc_2018,Total_Perc
Gabon,-1,11.75,0,0,1,0,0,0,0,0,0,0,0,1,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georgia,41.999981,43.499905,2,4,0,0,0,0,1,0,0,7,4,18,0.03,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.04,0.02
Germany,51.5,10.5,262,319,255,35,25,43,46,5,5,3,2,1000,3.85,4.61,3.16,0.39,0.28,0.57,0.48,0.05,0.05,0.02,0.02,1.00
Ghana,8,-2,0,0,0,2,2,0,4,0,0,0,0,8,0.00,0.00,0.00,0.02,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.01
Greece,39,22,5,920,151,19,6,8,61,92,22,54,59,1396,0.07,13.31,1.87,0.21,0.07,0.11,0.64,0.93,0.22,0.43,0.56,1.40
Guatemala,15.5,-90.25,0,0,0,0,0,0,0,0,0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00
Honduras,15,-86.5,0,0,0,0,0,0,0,2,0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00
Hungary,47,20,0,4,18,4,0,2,0,0,0,0,0,28,0.00,0.06,0.22,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03
India,20,77,5,2,54,203,139,985,1116,268,41,261,25,3098,0.07,0.03,0.67,2.25,1.53,13.01,11.62,2.70,0.41,2.09,0.24,3.10
Indonesia,-5,120,14,0,0,0,35,85,150,82,94,246,90,796,0.21,0.00,0.00,0.00,0.39,1.12,1.56,0.83,0.94,1.97,0.86,0.80
Iraq,33,44,281,311,343,397,340,255,285,791,888,513,40,4446,4.13,4.50,4.25,4.40,3.74,3.37,2.97,7.96,8.92,4.11,0.38,4.45
Ireland,53,-8,3,0,0,0,0,0,0,0,0,0,0,3,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Israel,31.5,34.75,663,134,41,59,107,65,121,228,510,505,480,2912,9.75,1.94,0.51,0.65,1.18,0.86,1.26,2.30,5.12,4.04,4.57,2.91
Italy,42.833333,12.833333,43,14,30,231,161,26,88,200,410,363,241,1807,0.63,0.20,0.37,2.56,1.77,0.34,0.92,2.01,4.12,2.91,2.29,1.81
Jamaica,18.25,-77.5,2,0,1,0,0,0,0,0,0,0,13,16,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.02
Japan,36,138,671,588,358,276,197,230,272,304,307,432,675,4311,9.87,8.51,4.43,3.06,2.17,3.04,2.83,3.06,3.08,3.46,6.42,4.31
Jordan,31,36,32,15,6,24,38,39,53,58,86,132,50,533,0.47,0.22,0.07,0.27,0.42,0.52,0.55,0.58,0.86,1.06,0.48,0.53
Kazakhstan,48,68,3,3,0,0,3,0,3,0,3,3,0,18,0.04,0.04,0.00,0.00,0.03,0.00,0.03,0.00,0.03,0.02,0.00,0.02
Kenya,1,38,0,0,0,1,1,0,0,1,19,6,0,28,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.19,0.05,0.00,0.03
Kuwait,29.5,47.75,0,1,37,36,22,52,681,291,130,56,55,1361,0.00,0.01,0.46,0.40,0.24,0.69,7.09,2.93,1.31,0.45,0.52,1.36
Latvia,57,25,0,11,14,0,0,0,0,0,20,0,11,56,0.00,0.16,0.17,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.10,0.06
Lebanon,33.833333,35.833333,0,16,10,0,31,21,5,38,27,48,85,280,0.00,0.23,0.12,0.00,0.34,0.28,0.05,0.38,0.27,0.38,0.81,0.28
Libya,25,17,0,0,0,0,4,0,0,0,0,0,0,4,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,56,24,3,3,0,0,0,0,0,0,1,1,0,7,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Malaysia,2.5,112.5,0,10,12,2,0,0,10,4,10,4,0,51,0.00,0.14,0.15,0.02,0.00,0.00,0.10,0.04,0.10,0.03,0.00,0.05
Malta,35.916667,14.433333,0,0,0,8,8,0,0,0,0,8,0,23,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.06,0.00,0.02
